epoch,step,train_loss
21999,87999,0.2561075985431671
22249,88999,0.2568296790122986
22499,89999,0.2560373842716217
22749,90999,0.2563715875148773
22999,91999,0.25476324558258057
23249,92999,0.25669196248054504
23499,93999,0.25513046979904175
23749,94999,0.2557212710380554
23999,95999,0.2559853792190552
24249,96999,0.25655269622802734
24499,97999,0.25646647810935974
24749,98999,0.2559315860271454
24999,99999,0.2562333345413208
25249,100999,0.25479254126548767
25499,101999,0.2553287446498871
25749,102999,0.2567608654499054
25999,103999,0.2563949525356293
26249,104999,0.25524765253067017
26499,105999,0.2555057406425476
26749,106999,0.2561967074871063
26999,107999,0.255633682012558
27249,108999,0.25677984952926636
27499,109999,0.25566574931144714
27749,110999,0.2566480040550232
27999,111999,0.25765836238861084
28249,112999,0.2556118667125702
28499,113999,0.25589489936828613
28749,114999,0.2556755244731903
28999,115999,0.2559897303581238
29249,116999,0.2561591565608978
29499,117999,0.2551245093345642
29749,118999,0.25656482577323914
29999,119999,0.2556312084197998
30249,120999,0.25581952929496765
30499,121999,0.25565943121910095
30749,122999,0.25592270493507385
30999,123999,0.25549694895744324
31249,124999,0.2567192018032074
31499,125999,0.2569052577018738
31749,126999,0.25535380840301514
31999,127999,0.2560634911060333
32249,128999,0.258048951625824
32499,129999,0.2562004327774048
32749,130999,0.25559157133102417
32999,131999,0.2559269964694977
33249,132999,0.25575387477874756
33499,133999,0.25622692704200745
33749,134999,0.2559778392314911
33999,135999,0.2566796839237213
34249,136999,0.2561178505420685
34499,137999,0.2561548948287964
34749,138999,0.2570253908634186
34999,139999,0.25592806935310364
35249,140999,0.2562709152698517
35499,141999,0.2557181417942047
35749,142999,0.2565574645996094
35999,143999,0.25545427203178406
36249,144999,0.25623780488967896
36499,145999,0.25590866804122925
36749,146999,0.2568921446800232
36999,147999,0.25662752985954285
37249,148999,0.25623682141304016
37499,149999,0.2555372714996338
37749,150999,0.25607120990753174
37999,151999,0.2554038465023041
38249,152999,0.2559429705142975
38499,153999,0.25581344962120056
38749,154999,0.2565247416496277
38999,155999,0.2567204535007477
39249,156999,0.25647082924842834
39499,157999,0.2569020092487335
39749,158999,0.25579652190208435
39999,159999,0.2558977007865906
40249,160999,0.2564966082572937
40499,161999,0.25599998235702515
40749,162999,0.2561681568622589
40999,163999,0.25623011589050293
41249,164999,0.2559564411640167
41499,165999,0.25657323002815247
41749,166999,0.2573109269142151
41999,167999,0.25579094886779785
42249,168999,0.25646188855171204
42499,169999,0.25655752420425415
42749,170999,0.25605177879333496
42999,171999,0.25657400488853455
43249,172999,0.255521297454834
43499,173999,0.25607019662857056
43749,174999,0.25704583525657654
43999,175999,0.2561139166355133
44249,176999,0.2563219666481018
44499,177999,0.25569161772727966
44749,178999,0.25749343633651733
44999,179999,0.25606077909469604
45249,180999,0.2560715675354004
45499,181999,0.25560253858566284
45749,182999,0.25687891244888306
45999,183999,0.2564527690410614
46249,184999,0.25708699226379395
46499,185999,0.25592735409736633
46749,186999,0.2570217251777649
46999,187999,0.2568909525871277
47249,188999,0.25657734274864197
47499,189999,0.2548181414604187
47749,190999,0.2558566927909851
47999,191999,0.2555901110172272
48249,192999,0.25663959980010986
48499,193999,0.25729870796203613
48749,194999,0.2564100921154022
48999,195999,0.25620579719543457
49249,196999,0.2566363215446472
49499,197999,0.2560023367404938
49749,198999,0.25686001777648926
49999,199999,0.25542041659355164
